Table 2b - Number of Vacancies by Rental Range and Type of Unit,,,,,,,,,,,,,,,,
,,Bachelor,Bachelor,Bachelor,1 Bedroom,1 Bedroom,1 Bedroom,2 Bedroom,2 Bedroom,2 Bedroom,3 Bedroom,3 Bedroom,3 Bedroom,4+ Bedroom,4+ Bedroom,4+ Bedroom
Community,Rental Range ($),Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%,Units,Vacant,%
Claresholm,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claresholm,500 - 649,1,0,0.0,-,-,-,-,-,-,-,-,-,-,-,-
Claresholm,650 - 799,-,-,-,1,0,0.0,20,1,5.0,1,0,0.0,-,-,-
Claresholm,800 - 949,-,-,-,11,0,0.0,17,0,0.0,5,0,0.0,-,-,-
Claresholm,"950 - 1,099",-,-,-,-,-,-,15,0,0.0,2,0,0.0,-,-,-
Claresholm,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Claresholm,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coaldale,,,,,,,,,,,,,,,,
Coaldale,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Coaldale,500 - 649,-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Coaldale,650 - 799,-,-,-,7,1,14.3,8,0,0.0,-,-,-,-,-,-
Coaldale,800 - 949,-,-,-,1,0,0.0,3,0,0.0,-,-,-,-,-,-
Coaldale,"950 - 1,099",-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Coaldale,"1,100 - 1,349",-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Coaldale,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,3,1,33.3
Crowsnest Pass,,,,,,,,,,,,,,,,
Crowsnest Pass,< 500,2,0,0.0,12,1,8.3,-,-,-,-,-,-,-,-,-
Crowsnest Pass,500 - 649,-,-,-,-,-,-,6,3,50.0,-,-,-,-,-,-
Crowsnest Pass,650 - 799,-,-,-,1,0,0.0,-,-,-,-,-,-,-,-,-
Crowsnest Pass,800 - 949,-,-,-,1,0,0.0,2,0,0.0,-,-,-,-,-,-
Crowsnest Pass,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crowsnest Pass,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Crowsnest Pass,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Didsbury,,,,,,,,,,,,,,,,
Didsbury,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Didsbury,500 - 649,-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Didsbury,650 - 799,-,-,-,-,-,-,1,0,0.0,2,0,0.0,-,-,-
Didsbury,800 - 949,-,-,-,-,-,-,-,-,-,7,0,0.0,-,-,-
Didsbury,"950 - 1,099",-,-,-,4,0,0.0,-,-,-,3,0,0.0,-,-,-
Didsbury,"1,100 - 1,349",-,-,-,-,-,-,16,0,0.0,4,0,0.0,-,-,-
Didsbury,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drayton Valley,,,,,,,,,,,,,,,,
Drayton Valley,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drayton Valley,500 - 649,1,0,0.0,3,0,0.0,-,-,-,-,-,-,-,-,-
Drayton Valley,650 - 799,4,0,0.0,17,3,17.6,40,11,27.5,-,-,-,-,-,-
Drayton Valley,800 - 949,1,1,100.0,35,4,11.4,68,7,10.3,-,-,-,-,-,-
Drayton Valley,"950 - 1,099",-,-,-,9,1,11.1,14,2,14.3,4,0,0.0,-,-,-
Drayton Valley,"1,100 - 1,349",-,-,-,-,-,-,16,1,6.3,12,1,8.3,-,-,-
Drayton Valley,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drumheller,,,,,,,,,,,,,,,,
Drumheller,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Drumheller,500 - 649,-,-,-,-,-,-,1,0,0.0,-,-,-,-,-,-
Drumheller,650 - 799,-,-,-,46,2,4.3,19,1,5.3,4,0,0.0,-,-,-
Drumheller,800 - 949,-,-,-,12,0,0.0,77,6,7.8,-,-,-,-,-,-
Drumheller,"950 - 1,099",-,-,-,3,0,0.0,5,0,0.0,2,0,0.0,-,-,-
Drumheller,"1,100 - 1,349",-,-,-,2,0,0.0,-,-,-,-,-,-,-,-,-
Drumheller,"1,350 +",-,-,-,2,0,0.0,2,1,50.0,-,-,-,-,-,-
Eckville,,,,,,,,,,,,,,,,
Eckville,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eckville,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eckville,650 - 799,-,-,-,-,-,-,8,1,12.5,1,0,0.0,-,-,-
Eckville,800 - 949,-,-,-,-,-,-,3,0,0.0,3,0,0.0,-,-,-
Eckville,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eckville,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Eckville,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edson,,,,,,,,,,,,,,,,
Edson,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edson,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Edson,650 - 799,-,-,-,4,3,75.0,4,0,0.0,-,-,-,-,-,-
Edson,800 - 949,2,0,0.0,58,0,0.0,67,1,1.5,-,-,-,-,-,-
Edson,"950 - 1,099",-,-,-,1,0,0.0,113,10,8.8,-,-,-,-,-,-
Edson,"1,100 - 1,349",-,-,-,12,0,0.0,7,0,0.0,34,0,0.0,-,-,-
Edson,"1,350 +",-,-,-,-,-,-,23,0,0.0,-,-,-,-,-,-
Elk Point,,,,,,,,,,,,,,,,
Elk Point,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elk Point,500 - 649,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elk Point,650 - 799,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elk Point,800 - 949,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elk Point,"950 - 1,099",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elk Point,"1,100 - 1,349",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Elk Point,"1,350 +",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Fairview,,,,,,,,,,,,,,,,
Fairview,< 500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
