Table 8: Weighted Rents by Bedroom Type and Overall Vacancy Rates by Community
High Level,Overall Vacancy Rate,13,3,4,9,5,12,8,2,5
High Prairie,1 - Bedroom,578,614,651,693,701,662,736,806,793
High Prairie,2 - Bedroom,765,737,791,846,846,880,911,"1,002",964
High Prairie,3 - Bedroom,942,"1,067","1,075","1,113","1,113","1,123","1,125","1,250","1,254"
High Prairie,Bachelor,499,542,506,593,621,636,642,696,693
High Prairie,Overall Vacancy Rate,11,12,5,3,15,4,5,6,11
High River,2 - Bedroom,0,0,0,0,0,0,850,0,0
High River,Overall Vacancy Rate,0,0,0,0,0,0,0,0,0
Hinton,1 - Bedroom,797,840,860,898,907,889,958,873,879
Hinton,2 - Bedroom,916,974,987,"1,011","1,027","1,021","1,101","1,045","1,023"
Hinton,3 - Bedroom,985,"1,066","1,086","1,094","1,084","1,109","1,112",991,"1,057"
Hinton,Bachelor,550,568,591,608,860,892,898,741,748
Hinton,Overall Vacancy Rate,6,7,3,8,17,4,4,12,11
Innisfail,1 - Bedroom,625,641,730,786,794,781,774,753,796
Innisfail,2 - Bedroom,693,742,776,798,807,794,805,799,818
Innisfail,3 - Bedroom,755,806,858,947,"1,076","1,020",941,"1,084","1,112"
Innisfail,4+ Bedroom,0,0,0,0,0,0,0,0,"1,800"
Innisfail,Bachelor,0,686,761,875,875,875,875,875,875
Innisfail,Overall Vacancy Rate,0,7,3,8,13,5,5,1,3
Jasper,1 - Bedroom,751,777,811,842,878,908,924,"1,061","1,078"
Jasper,2 - Bedroom,920,957,997,"1,024","1,063","1,044","1,093","1,245","1,319"
Jasper,3 - Bedroom,"1,080","1,129","1,169","1,211","1,248","1,131","1,196","1,335","1,563"
Jasper,4+ Bedroom,"1,220","1,247","1,302","1,252","1,390",0,0,0,0
Jasper,Bachelor,676,692,710,733,777,803,850,911,922
Jasper,Overall Vacancy Rate,0,0,0,0,0,0,0,0,0
Lac La Biche,1 - Bedroom,856,862,878,900,913,915,860,817,0
Lac La Biche,2 - Bedroom,"1,020","1,054","1,097","1,131","1,123","1,082","1,069",961,0
Lac La Biche,3 - Bedroom,"1,050","1,180","1,181","1,190","1,181","1,218","1,164","1,025",0
Lac La Biche,Overall Vacancy Rate,16,8,8,11,16,25,30,24,0
Lacombe,1 - Bedroom,0,0,0,0,0,0,0,0,865
Lacombe,2 - Bedroom,0,0,0,0,0,0,0,0,764
Lacombe,Overall Vacancy Rate,0,0,0,0,0,0,0,0,0
Mayerthorpe,1 - Bedroom,568,627,630,667,638,645,650,665,700
Mayerthorpe,2 - Bedroom,659,688,686,732,732,751,752,755,784
Mayerthorpe,3 - Bedroom,725,738,850,0,0,0,850,0,850
Mayerthorpe,Overall Vacancy Rate,6,3,0,9,19,4,0,0,0
Mclennan,1 - Bedroom,584,676,678,678,682,685,684,684,711
Mclennan,2 - Bedroom,635,715,732,732,740,740,742,744,740
Mclennan,Overall Vacancy Rate,4,0,0,0,0,0,4,0,4
Millet,1 - Bedroom,0,775,659,705,703,695,721,825,855
Millet,2 - Bedroom,0,848,873,945,968,936,925,912,914
Millet,Overall Vacancy Rate,0,5,3,23,7,4,11,16,0
Nanton,1 - Bedroom,650,800,800,800,985,750,750,800,800
Nanton,2 - Bedroom,683,685,764,749,749,766,777,821,830
Nanton,3 - Bedroom,706,699,746,755,782,764,790,842,863
Nanton,Bachelor,605,615,640,720,600,683,650,750,800
Nanton,Overall Vacancy Rate,5,4,0,4,11,2,0,7,2
Olds,1 - Bedroom,629,625,639,637,652,717,726,723,749
Olds,2 - Bedroom,789,798,812,845,856,830,854,823,866
Olds,3 - Bedroom,765,826,853,926,904,800,869,775,865
Olds,4+ Bedroom,"1,200",0,0,0,0,0,0,0,0
Olds,Bachelor,547,563,563,650,850,625,575,0,0
Olds,Overall Vacancy Rate,7,8,2,2,17,6,5,5,3
Peace River,1 - Bedroom,788,838,943,928,909,888,906,942,877
